ticker,report_date,revenue,net_income,rnd_expenses,operating_cash_flow
AAPL,2021-09-30,0,0,0,0
AAPL,2022-09-30,394328000000,99803000000,26251000000,122151000000
AAPL,2023-09-30,383285000000,96995000000,29915000000,110543000000
AAPL,2024-09-30,391035000000,93736000000,31370000000,118254000000
AAPL,2025-09-30,416161000000,112010000000,34550000000,111482000000
MSFT,2021-06-30,0,0,0,0
MSFT,2022-06-30,198270000000,72738000000,24512000000,89035000000
MSFT,2023-06-30,211915000000,72361000000,27195000000,87582000000
MSFT,2024-06-30,245122000000,88136000000,29510000000,118548000000
MSFT,2025-06-30,281724000000,101832000000,32488000000,136162000000
GOOGL,2020-12-31,0,0,0,0
GOOGL,2021-12-31,257637000000,76033000000,31562000000,91652000000
GOOGL,2022-12-31,282836000000,59972000000,39500000000,91495000000
GOOGL,2023-12-31,307394000000,73795000000,45427000000,101746000000
GOOGL,2024-12-31,350018000000,100118000000,49326000000,125299000000
AMZN,2020-12-31,0,0,42740000000,0
AMZN,2021-12-31,469822000000,33364000000,0,46327000000
AMZN,2022-12-31,513983000000,-2722000000,0,46752000000
AMZN,2023-12-31,574785000000,30425000000,0,84946000000
AMZN,2024-12-31,637959000000,59248000000,0,115877000000
TSLA,2020-12-31,0,0,0,0
TSLA,2021-12-31,53823000000,5524000000,2593000000,11497000000
TSLA,2022-12-31,81462000000,12583000000,3075000000,14724000000
TSLA,2023-12-31,96773000000,14999000000,3969000000,13256000000
TSLA,2024-12-31,97690000000,7130000000,4540000000,14923000000
META,2020-12-31,0,0,0,0
META,2021-12-31,117929000000,39370000000,24655000000,57683000000
META,2022-12-31,116609000000,23200000000,35338000000,50475000000
META,2023-12-31,134902000000,39098000000,38483000000,71113000000
META,2024-12-31,164501000000,62360000000,43873000000,91328000000
NVDA,2021-01-31,0,0,0,0
NVDA,2022-01-31,26914000000,9752000000,5268000000,9108000000
NVDA,2023-01-31,26974000000,4368000000,7339000000,5641000000
NVDA,2024-01-31,60922000000,29760000000,8675000000,28090000000
NVDA,2025-01-31,130497000000,72880000000,12914000000,64089000000
AMD,2020-12-31,0,0,0,0
AMD,2021-12-31,16434000000,3162000000,2845000000,3521000000
AMD,2022-12-31,23601000000,1320000000,5005000000,3565000000
AMD,2023-12-31,22680000000,854000000,5872000000,1667000000
AMD,2024-12-31,25785000000,1641000000,6456000000,3041000000
INTC,2020-12-31,0,0,0,0
INTC,2021-12-31,79024000000,19868000000,15190000000,29456000000
INTC,2022-12-31,63054000000,8014000000,17528000000,15433000000
INTC,2023-12-31,54228000000,1689000000,16046000000,11471000000
INTC,2024-12-31,53101000000,-18756000000,16546000000,8288000000
IBM,2020-12-31,0,0,0,0
IBM,2021-12-31,57351000000,5742000000,6488000000,12796000000
IBM,2022-12-31,60530000000,1640000000,6567000000,10435000000
IBM,2023-12-31,61860000000,7502000000,6775000000,13931000000
IBM,2024-12-31,62753000000,6023000000,7479000000,13445000000
ORCL,2021-05-31,0,0,0,0
ORCL,2022-05-31,42440000000,6717000000,7219000000,9539000000
ORCL,2023-05-31,49954000000,8503000000,8623000000,17165000000
ORCL,2024-05-31,52961000000,10467000000,8915000000,18673000000
ORCL,2025-05-31,57399000000,12443000000,9860000000,20821000000
CSCO,2021-07-31,0,0,0,0
CSCO,2022-07-31,51557000000,11812000000,6774000000,13226000000
CSCO,2023-07-31,56998000000,12613000000,7551000000,19886000000
CSCO,2024-07-31,53803000000,10320000000,7983000000,10880000000
CSCO,2025-07-31,56654000000,10180000000,9300000000,14193000000
SAP,2020-12-31,0,0,0,0
SAP,2021-12-31,26953000000,5256000000,5270000000,6223000000
SAP,2022-12-31,29519000000,2284000000,6080000000,5647000000
SAP,2023-12-31,31207000000,6139000000,6324000000,6332000000
SAP,2024-12-31,34176000000,3124000000,6514000000,5220000000
ADBE,2021-11-30,15785000000,4822000000,2540000000,7230000000
ADBE,2022-11-30,17606000000,4756000000,2987000000,7838000000
ADBE,2023-11-30,19409000000,5428000000,3473000000,7302000000
ADBE,2024-11-30,21505000000,5560000000,3944000000,8056000000
CRM,2021-01-31,0,0,0,0
CRM,2022-01-31,26492000000,1444000000,4465000000,6000000000
CRM,2023-01-31,31352000000,208000000,5055000000,7111000000
CRM,2024-01-31,34857000000,4136000000,4906000000,10234000000
CRM,2025-01-31,37895000000,6197000000,5493000000,13092000000
