ticker,rec_date,buy_count,sell_count,consensus_score
AAPL,2025-12-02,29,4,2.44
AAPL,2025-11-02,29,4,2.44
AAPL,2025-10-03,29,4,2.44
AAPL,2025-09-03,28,4,2.45
MSFT,2025-12-02,55,0,1.8
MSFT,2025-11-02,56,0,1.81
MSFT,2025-10-03,57,0,1.79
MSFT,2025-09-03,57,0,1.79
GOOGL,2025-12-02,56,0,1.95
GOOGL,2025-11-02,57,0,1.95
GOOGL,2025-10-03,57,0,1.96
GOOGL,2025-09-03,55,0,1.98
AMZN,2025-12-02,63,0,1.8
AMZN,2025-11-02,64,0,1.81
AMZN,2025-10-03,65,0,1.81
AMZN,2025-09-03,65,0,1.84
TSLA,2025-12-02,20,10,2.74
TSLA,2025-11-02,20,10,2.74
TSLA,2025-10-03,20,10,2.74
TSLA,2025-09-03,20,8,2.67
META,2025-12-02,59,0,1.97
META,2025-11-02,60,0,1.97
META,2025-10-03,57,1,2.06
META,2025-09-03,59,1,2.03
NVDA,2025-12-02,60,1,1.91
NVDA,2025-11-02,60,1,1.91
NVDA,2025-10-03,58,1,1.94
NVDA,2025-09-03,57,1,1.94
AMD,2025-12-02,40,0,2.1
AMD,2025-11-02,40,0,2.1
AMD,2025-10-03,38,0,2.17
AMD,2025-09-03,36,0,2.21
INTC,2025-12-02,4,7,3.11
INTC,2025-11-02,3,8,3.21
INTC,2025-10-03,3,5,3.09
IBM,2025-12-02,9,4,2.8
IBM,2025-11-02,8,4,2.85
IBM,2025-10-03,8,3,2.76
ORCL,2025-12-02,30,2,2.19
ORCL,2025-11-02,30,2,2.19
ORCL,2025-10-03,30,2,2.21
ORCL,2025-09-03,27,1,2.24
CSCO,2025-12-02,15,1,2.35
CSCO,2025-11-02,14,1,2.38
CSCO,2025-10-03,14,1,2.38
SAP,2025-12-02,12,0,1.93
SAP,2025-11-02,12,0,1.93
SAP,2025-10-03,13,0,1.87
ADBE,2025-12-02,24,3,2.33
ADBE,2025-11-02,24,3,2.33
ADBE,2025-10-03,25,3,2.33
ADBE,2025-09-03,25,3,2.33
CRM,2025-12-02,41,1,2.15
CRM,2025-11-02,41,1,2.15
CRM,2025-10-03,42,1,2.13
CRM,2025-09-03,43,1,2.11
